timeframe,open_time,open,high,low,close,volume,buy_volume,sell_volume,tick_count
15m,1773165600.0,1.4127,1.4133,1.3993,1.3997,624155.51,0.0,0.0,0
15m,1773166500.0,1.3997,1.404,1.3907,1.3961,1343622.62,0.0,0.0,0
15m,1773167400.0,1.3961,1.3993,1.3916,1.394,901723.09,0.0,0.0,0
15m,1773168300.0,1.394,1.3966,1.391,1.3936,420969.18,0.0,0.0,0
15m,1773169200.0,1.3936,1.3952,1.3872,1.3901,311783.55,0.0,0.0,0
15m,1773170100.0,1.3901,1.3926,1.3849,1.3851,576893.12,0.0,0.0,0
15m,1773171000.0,1.3851,1.3885,1.3825,1.3853,392198.56,0.0,0.0,0
15m,1773171900.0,1.3853,1.3857,1.3798,1.3848,589185.59,0.0,0.0,0
15m,1773172800.0,1.3848,1.3903,1.3846,1.3894,267280.72,0.0,0.0,0
15m,1773173700.0,1.3894,1.3936,1.3865,1.3926,237718.55,0.0,0.0,0
15m,1773174600.0,1.3926,1.3948,1.3902,1.3922,310576.1,0.0,0.0,0
15m,1773175500.0,1.3922,1.3924,1.3895,1.3898,177580.16,0.0,0.0,0
15m,1773176400.0,1.3898,1.3948,1.3872,1.3884,118155.11,0.0,0.0,0
15m,1773177300.0,1.3884,1.3902,1.3872,1.3883,114935.24,0.0,0.0,0
15m,1773178200.0,1.3883,1.3902,1.3825,1.3842,420146.36,0.0,0.0,0
15m,1773179100.0,1.3842,1.3848,1.3786,1.3837,204205.08,0.0,0.0,0
15m,1773180000.0,1.3837,1.3866,1.3796,1.381,298431.93,0.0,0.0,0
15m,1773180900.0,1.381,1.3889,1.3801,1.386,128025.62,0.0,0.0,0
15m,1773181800.0,1.386,1.386,1.3826,1.3844,95076.45,0.0,0.0,0
15m,1773182700.0,1.3844,1.3858,1.3829,1.3841,70127.23,0.0,0.0,0
15m,1773183600.0,1.3841,1.387,1.3841,1.3846,91408.31,0.0,0.0,0
15m,1773184500.0,1.3846,1.387,1.3842,1.3855,84208.33,0.0,0.0,0
15m,1773185400.0,1.3855,1.3881,1.385,1.3869,107494.21,0.0,0.0,0
15m,1773186300.0,1.3869,1.3874,1.3843,1.3866,149830.93,0.0,0.0,0
15m,1773187200.0,1.3866,1.3876,1.3833,1.3867,236288.16,0.0,0.0,0
15m,1773188100.0,1.3867,1.3882,1.3856,1.3871,147198.65,0.0,0.0,0
15m,1773189000.0,1.3871,1.3871,1.3824,1.3832,384486.19,0.0,0.0,0
15m,1773189900.0,1.3832,1.3923,1.3832,1.3883,511974.33,0.0,0.0,0
15m,1773190800.0,1.3883,1.3906,1.3862,1.3889,119946.33,0.0,0.0,0
15m,1773191700.0,1.3889,1.3891,1.3853,1.3888,161530.51,0.0,0.0,0
15m,1773192600.0,1.3888,1.3889,1.3843,1.3862,129977.08,0.0,0.0,0
15m,1773193500.0,1.3862,1.3903,1.3858,1.3902,138967.47,0.0,0.0,0
15m,1773194400.0,1.3902,1.3905,1.3874,1.3874,107648.7,0.0,0.0,0
15m,1773195300.0,1.3874,1.3885,1.3839,1.3852,742832.82,0.0,0.0,0
15m,1773196200.0,1.3852,1.3853,1.3784,1.3799,1019003.68,0.0,0.0,0
15m,1773197100.0,1.3799,1.3829,1.3785,1.3823,463929.27,0.0,0.0,0
